Season,TeamID,GamesPlayed,Win%,MoV,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,OR,DR,AST,TO,STL,BLK,PF
2003,1104,28,0.6071428571428571,13.176470588235293,673,1601,0.4203622735790131,178,556,0.32014388489208634,416,586,0.7098976109215017,13.571428571428571,23.928571428571427,339,372,185,106,505
2003,1272,29,0.7931034482758621,12.695652173913043,762,1740,0.4379310344827586,203,582,0.3487972508591065,434,664,0.6536144578313253,14.068965517241379,25.96551724137931,482,400,214,147,544
2003,1266,28,0.8214285714285714,14.826086956521738,762,1575,0.4838095238095238,162,427,0.3793911007025761,509,661,0.7700453857791225,13.107142857142858,24.071428571428573,457,380,168,102,522
2003,1296,31,0.5483870967741935,10.176470588235293,755,1645,0.45896656534954405,195,509,0.3831041257367387,453,694,0.6527377521613833,13.0,22.64516129032258,393,527,236,112,614
2003,1400,28,0.7857142857142857,14.818181818181818,784,1748,0.448512585812357,164,470,0.34893617021276596,476,666,0.7147147147147147,16.178571428571427,26.142857142857142,406,376,179,108,570
2003,1458,29,0.7586206896551724,18.272727272727273,726,1563,0.46449136276391556,181,504,0.35912698412698413,418,564,0.7411347517730497,10.310344827586206,22.551724137931036,386,305,202,82,430
2003,1161,30,0.5666666666666667,11.411764705882353,792,1563,0.5067178502879078,126,347,0.3631123919308357,510,728,0.7005494505494505,10.8,23.466666666666665,465,484,160,127,617
2003,1186,29,0.5862068965517241,12.176470588235293,693,1485,0.4666666666666667,136,387,0.35142118863049093,507,691,0.7337192474674384,9.379310344827585,22.862068965517242,429,494,223,79,623
2003,1194,27,0.2222222222222222,8.166666666666666,679,1729,0.39271255060728744,175,522,0.33524904214559387,332,497,0.6680080482897385,14.37037037037037,21.555555555555557,330,449,245,94,630
2003,1166,33,0.8787878787878788,17.79310344827586,947,1896,0.4994725738396624,263,676,0.3890532544378698,458,661,0.6928895612708018,10.878787878787879,23.181818181818183,555,441,277,147,570
2003,1202,28,0.39285714285714285,9.181818181818182,654,1568,0.41709183673469385,157,479,0.3277661795407098,342,495,0.6909090909090909,12.678571428571429,22.892857142857142,356,415,194,81,489
2003,1237,32,0.59375,10.947368421052632,782,1726,0.45307068366164543,208,595,0.3495798319327731,508,724,0.7016574585635359,11.6875,20.90625,428,509,262,58,619
2003,1323,31,0.7096774193548387,15.863636363636363,844,1881,0.44869750132908026,257,675,0.38074074074074077,538,708,0.7598870056497176,11.387096774193548,26.870967741935484,524,396,231,175,503
2003,1125,28,0.5714285714285714,11.375,714,1533,0.4657534246575342,229,623,0.36757624398073835,372,530,0.7018867924528301,10.535714285714286,23.642857142857142,473,474,254,48,514
2003,1156,30,0.26666666666666666,9.375,687,1540,0.4461038961038961,177,477,0.3710691823899371,418,634,0.6593059936908517,10.433333333333334,21.0,406,517,212,133,584
2003,1183,28,0.4642857142857143,11.461538461538462,771,1733,0.4448932487016734,189,499,0.3787575150300601,431,564,0.7641843971631206,12.107142857142858,22.857142857142858,452,363,179,57,550
2003,1314,32,0.53125,12.235294117647058,809,1890,0.42804232804232806,259,746,0.34718498659517427,400,604,0.6622516556291391,11.875,23.0625,490,480,261,150,552
2003,1353,28,0.42857142857142855,11.166666666666666,674,1706,0.3950762016412661,186,559,0.33273703041144903,360,548,0.656934306569343,13.892857142857142,22.357142857142858,350,382,258,147,587
2003,1390,31,0.7419354838709677,10.347826086956522,795,1799,0.44191217342968314,215,601,0.3577371048252912,435,644,0.6754658385093167,13.741935483870968,25.129032258064516,454,444,171,104,574
2003,1426,27,0.5185185185185185,10.785714285714286,629,1432,0.43924581005586594,68,263,0.2585551330798479,365,541,0.6746765249537893,12.62962962962963,23.77777777777778,369,419,165,80,447
2003,1462,30,0.8333333333333334,16.0,804,1776,0.4527027027027027,193,533,0.3621013133208255,546,731,0.746922024623803,13.933333333333334,25.5,492,391,164,91,473
2003,1196,31,0.7741935483870968,15.958333333333334,835,1752,0.4765981735159817,269,686,0.39212827988338195,414,587,0.7052810902896082,10.806451612903226,24.258064516129032,509,415,241,127,524
2003,1242,30,0.7666666666666667,22.0,907,1869,0.48528624933119313,144,424,0.33962264150943394,482,724,0.6657458563535912,14.3,26.9,502,447,304,147,501
2003,1422,28,0.21428571428571427,9.666666666666666,729,1655,0.4404833836858006,177,500,0.354,324,450,0.72,11.5,22.75,386,454,195,101,559
2003,1304,29,0.3793103448275862,10.181818181818182,665,1668,0.3986810551558753,133,485,0.27422680412371137,376,581,0.6471600688468159,12.206896551724139,26.03448275862069,325,417,182,93,532
2003,1113,29,0.6206896551724138,17.38888888888889,789,1650,0.4781818181818182,116,365,0.3178082191780822,509,760,0.6697368421052632,13.689655172413794,23.310344827586206,451,406,151,123,563
2003,1116,28,0.32142857142857145,13.88888888888889,611,1556,0.39267352185089976,170,548,0.3102189781021898,334,548,0.6094890510948905,14.535714285714286,23.428571428571427,275,467,181,99,586
2003,1117,26,0.4230769230769231,16.363636363636363,616,1422,0.43319268635724334,206,555,0.37117117117117115,411,557,0.7378815080789947,10.961538461538462,20.384615384615383,310,345,186,43,557
